match_id,date,season,home_team,away_team,referee,home_goals,away_goals,home_yellow_cards,away_yellow_cards,total_yellow_cards,home_red_cards,away_red_cards,home_corners,away_corners,total_corners,home_fouls,away_fouls,total_fouls,has_penalty,penalty_count,medical_exits,referee_strictness
1,2024-01-01,2023-24,Рубин,Локомотив,Еськов А.,0,1,2,0,2,0,0,2,2,4,9,14,23,0,0,2,0.85
2,2024-02-02,2023-24,Краснодар,Спартак,Карасев С.,0,0,1,4,5,0,0,2,6,8,11,12,23,0,0,5,1.15
3,2024-03-03,2023-24,Урал,Сочи,Казарцев С.,1,1,0,2,2,0,0,8,6,14,12,19,31,0,0,2,1.2
4,2024-04-04,2023-24,Краснодар,Ростов,Карасев С.,1,0,2,0,2,0,0,10,2,12,7,21,28,0,0,1,1.15
5,2024-05-05,2023-24,Зенит,Урал,Казарцев С.,4,2,1,2,3,0,0,5,4,9,11,11,22,0,0,2,1.2
6,2024-06-06,2023-24,Рубин,ЦСКА,Иванов И.,0,1,0,1,1,0,0,6,10,16,8,15,23,1,1,0,0.95
7,2024-07-07,2023-24,Зенит,Урал,Безбородов А.,3,0,0,2,2,0,0,7,7,14,9,13,22,1,1,4,0.8
8,2024-08-08,2023-24,Спартак,Факел,Иванов И.,1,1,0,2,2,0,0,5,3,8,13,15,28,0,0,1,0.95
9,2024-09-09,2023-24,Динамо,Химки,Чистяков Е.,1,1,0,0,0,0,0,5,3,8,11,9,20,0,0,2,1.1
10,2024-10-10,2023-24,Ростов,Пари НН,Безбородов А.,1,2,2,2,4,0,0,2,3,5,12,15,27,1,1,1,0.8
11,2024-01-11,2023-24,Ахмат,Химки,Левников С.,2,3,3,5,8,0,0,1,2,3,16,9,25,0,0,0,1.3
12,2024-02-12,2023-24,Крылья Советов,Локомотив,Вилков В.,1,0,1,2,3,0,0,5,2,7,14,16,30,0,0,3,0.9
13,2024-03-13,2023-24,Пари НН,Крылья Советов,Чистяков Е.,0,2,2,0,2,0,0,2,4,6,18,13,31,1,1,5,1.1
14,2024-04-14,2023-24,Ахмат,Ростов,Москалев А.,1,1,2,2,4,0,0,4,5,9,14,10,24,1,0,6,1.05
15,2024-05-15,2023-24,Химки,Динамо,Казарцев С.,0,0,1,2,3,0,0,5,7,12,15,14,29,0,0,1,1.2
16,2024-06-16,2023-24,Краснодар,Урал,Москалев А.,0,0,0,2,2,0,0,7,4,11,11,12,23,0,0,2,1.05
17,2024-07-17,2023-24,Динамо,Зенит,Иванов И.,1,1,2,4,6,0,0,4,5,9,13,19,32,0,0,4,0.95
18,2024-08-18,2023-24,Оренбург,Факел,Москалев А.,2,0,2,1,3,0,0,8,2,10,15,14,29,0,0,1,1.05
19,2024-09-19,2023-24,Факел,Зенит,Левников С.,1,0,2,4,6,0,0,7,4,11,18,19,37,0,0,0,1.3
20,2024-10-20,2023-24,Динамо,Спартак,Москалев А.,0,0,3,2,5,0,0,5,6,11,7,14,21,0,0,0,1.05
21,2024-01-21,2023-24,Ахмат,Сочи,Вилков В.,1,0,0,2,2,0,0,4,5,9,15,12,27,0,0,2,0.9
22,2024-02-22,2023-24,Спартак,Рубин,Панин А.,2,2,2,0,2,0,0,9,4,13,13,22,35,0,0,2,1.0
23,2024-03-23,2023-24,Оренбург,Урал,Еськов А.,0,1,0,2,2,0,0,7,8,15,11,19,30,0,0,3,0.85
24,2024-04-24,2023-24,Зенит,Ахмат,Еськов А.,1,1,1,0,1,0,0,4,4,8,9,13,22,1,1,1,0.85
25,2024-05-25,2023-24,Урал,ЦСКА,Вилков В.,2,1,2,1,3,0,0,10,4,14,7,15,22,0,0,5,0.9
26,2024-06-26,2023-24,Химки,Оренбург,Вилков В.,0,1,1,3,4,0,0,7,6,13,15,8,23,1,1,4,0.9
27,2024-07-27,2023-24,ЦСКА,Сочи,Москалев А.,3,1,3,2,5,0,0,4,7,11,11,12,23,1,0,0,1.05
28,2024-08-28,2023-24,Спартак,Локомотив,Вилков В.,1,1,2,2,4,1,0,10,4,14,20,11,31,0,0,2,0.9
29,2024-09-01,2023-24,Спартак,Сочи,Лапочкин С.,0,1,3,3,6,0,0,6,3,9,10,7,17,1,0,0,1.0
30,2024-10-02,2023-24,Зенит,Локомотив,Иванов И.,0,0,1,1,2,0,0,6,9,15,9,11,20,0,0,1,0.95
31,2024-01-03,2023-24,Спартак,Краснодар,Чистяков Е.,0,1,1,4,5,0,0,4,3,7,17,19,36,1,0,3,1.1
32,2024-02-04,2023-24,Сочи,Пари НН,Казарцев С.,3,3,7,3,10,0,0,2,6,8,15,11,26,0,0,3,1.2
33,2024-03-05,2023-24,Зенит,Рубин,Чистяков Е.,2,0,0,5,5,0,0,4,3,7,12,11,23,0,0,2,1.1
34,2024-04-06,2023-24,Зенит,Оренбург,Иванов И.,1,1,2,1,3,0,0,5,5,10,16,13,29,0,0,1,0.95
35,2024-05-07,2023-24,Пари НН,Крылья Советов,Панин А.,1,0,2,1,3,0,0,6,0,6,11,14,25,0,0,1,1.0
36,2024-06-08,2023-24,Рубин,Сочи,Казарцев С.,0,0,1,4,5,0,0,9,7,16,14,14,28,0,0,3,1.2
37,2024-07-09,2023-24,Сочи,Пари НН,Панин А.,2,2,0,1,1,0,0,5,9,14,9,13,22,0,0,1,1.0
38,2024-08-10,2023-24,Ростов,Рубин,Москалев А.,1,1,1,2,3,0,0,6,3,9,13,15,28,0,0,2,1.05
39,2024-09-11,2023-24,Химки,Пари НН,Левников С.,2,0,1,2,3,0,0,3,3,6,10,10,20,0,0,3,1.3
40,2024-10-12,2023-24,Ростов,Пари НН,Панин А.,3,3,1,5,6,1,0,4,6,10,12,8,20,0,0,3,1.0
41,2024-01-13,2023-24,Ахмат,Оренбург,Карасев С.,1,2,2,3,5,0,0,9,4,13,9,9,18,0,0,3,1.15
42,2024-02-14,2023-24,Пари НН,Химки,Лапочкин С.,0,1,1,2,3,0,0,5,6,11,11,16,27,0,0,4,1.0
43,2024-03-15,2023-24,Оренбург,Факел,Вилков В.,1,1,1,1,2,0,0,4,4,8,14,10,24,1,0,3,0.9
44,2024-04-16,2023-24,Зенит,Ахмат,Панин А.,0,2,1,1,2,0,0,10,4,14,14,20,34,0,0,1,1.0
45,2024-05-17,2023-24,Краснодар,Локомотив,Иванов И.,2,1,1,1,2,0,0,4,3,7,16,14,30,0,0,1,0.95
46,2024-06-18,2023-24,Динамо,ЦСКА,Матюнин А.,2,0,3,2,5,0,1,6,6,12,16,18,34,0,0,0,1.1
47,2024-07-19,2023-24,Химки,Урал,Вилков В.,1,3,1,0,1,0,0,2,4,6,10,13,23,0,0,0,0.9
48,2024-08-20,2023-24,Пари НН,Сочи,Матюнин А.,2,0,1,3,4,0,0,1,4,5,12,11,23,1,3,0,1.1
49,2024-09-21,2023-24,Локомотив,Пари НН,Панин А.,0,3,2,0,2,0,0,4,9,13,11,12,23,0,0,1,1.0
50,2024-10-22,2023-24,Ростов,Химки,Панин А.,3,0,0,3,3,0,0,2,5,7,4,14,18,0,0,0,1.0
51,2024-01-23,2023-24,Оренбург,Факел,Вилков В.,3,1,1,0,1,0,0,8,8,16,10,15,25,1,0,2,0.9
52,2024-02-24,2023-24,Крылья Советов,Ростов,Казарцев С.,1,0,3,4,7,0,0,6,8,14,9,12,21,0,0,2,1.2
53,2024-03-25,2023-24,Краснодар,Химки,Карасев С.,2,5,1,3,4,0,0,6,4,10,8,14,22,1,1,2,1.15
54,2024-04-26,2023-24,Спартак,Динамо,Матюнин А.,0,0,1,2,3,0,0,4,5,9,10,19,29,0,0,2,1.1
55,2024-05-27,2023-24,Оренбург,Факел,Панин А.,1,1,0,1,1,0,0,3,6,9,11,9,20,0,0,3,1.0
56,2024-06-28,2023-24,Рубин,Зенит,Казарцев С.,4,0,2,4,6,0,0,3,5,8,14,14,28,0,0,3,1.2
57,2024-07-01,2023-24,Ростов,Урал,Матюнин А.,2,4,3,5,8,0,1,8,6,14,14,18,32,1,0,2,1.1
58,2024-08-02,2023-24,Факел,Спартак,Казарцев С.,2,3,0,2,2,0,0,8,4,12,7,9,16,1,1,2,1.2
59,2024-09-03,2023-24,Крылья Советов,Урал,Матюнин А.,2,1,2,1,3,0,0,9,6,15,18,17,35,0,0,0,1.1
60,2024-10-04,2023-24,Химки,Сочи,Карасев С.,3,2,2,1,3,0,0,2,3,5,17,12,29,0,0,0,1.15
61,2024-01-05,2023-24,Краснодар,Динамо,Левников С.,1,1,1,2,3,1,1,3,4,7,10,12,22,1,1,3,1.3
62,2024-02-06,2023-24,Динамо,Химки,Еськов А.,2,1,0,2,2,0,0,4,0,4,19,7,26,1,0,0,0.85
63,2024-03-07,2023-24,Рубин,Ростов,Москалев А.,2,2,0,1,1,0,0,5,6,11,13,19,32,0,0,1,1.05
64,2024-04-08,2023-24,ЦСКА,Крылья Советов,Москалев А.,1,1,3,0,3,0,0,8,2,10,11,14,25,0,0,2,1.05
65,2024-05-09,2023-24,Крылья Советов,Спартак,Матюнин А.,1,2,3,2,5,1,0,3,3,6,12,9,21,0,0,2,1.1
66,2024-06-10,2023-24,Химки,Пари НН,Левников С.,0,4,0,2,2,0,0,3,6,9,8,17,25,0,0,0,1.3
67,2024-07-11,2023-24,Оренбург,Зенит,Безбородов А.,5,1,1,2,3,0,0,9,1,10,16,9,25,0,0,1,0.8
68,2024-08-12,2023-24,Крылья Советов,Динамо,Карасев С.,3,0,1,2,3,0,0,9,6,15,10,17,27,0,0,2,1.15
69,2024-09-13,2023-24,Урал,Спартак,Матюнин А.,1,2,2,0,2,0,0,2,8,10,17,10,27,0,0,0,1.1
70,2024-10-14,2023-24,Ростов,Крылья Советов,Лапочкин С.,2,0,2,0,2,0,0,4,3,7,10,16,26,0,0,4,1.0
71,2024-01-15,2023-24,Ростов,ЦСКА,Еськов А.,0,3,1,0,1,0,0,7,9,16,8,18,26,0,0,1,0.85
72,2024-02-16,2023-24,Локомотив,Крылья Советов,Москалев А.,2,0,1,2,3,0,0,4,6,10,14,11,25,0,0,2,1.05
73,2024-03-17,2023-24,Динамо,Зенит,Левников С.,2,0,0,0,0,0,0,7,5,12,9,18,27,0,0,1,1.3
74,2024-04-18,2023-24,Факел,ЦСКА,Безбородов А.,1,0,0,0,0,0,0,3,4,7,10,16,26,0,0,3,0.8
