team,matches_analyzed,avg_yellow_cards,avg_yellow_cards_home,avg_yellow_cards_away,avg_corners,avg_corners_home,avg_corners_away,avg_fouls,penalty_rate,avg_medical,avg_goals,avg_goals_conceded
Зенит,20,1.95,1.6363636363636365,2.3333333333333335,6.05,6.818181818181818,5.111111111111111,13.0,0.15,1.7,1.3,1.25
Локомотив,20,1.5,1.2727272727272727,1.7777777777777777,4.15,3.3636363636363638,5.111111111111111,13.05,0.25,1.5,1.35,1.05
Крылья Советов,20,1.4,1.625,1.25,4.8,6.25,3.8333333333333335,13.6,0.3,2.0,1.05,1.65
Химки,20,1.35,1.4545454545454546,1.2222222222222223,4.55,4.545454545454546,4.555555555555555,12.25,0.25,1.85,0.85,1.25
Спартак,20,2.05,1.8888888888888888,2.1818181818181817,4.8,5.222222222222222,4.454545454545454,12.95,0.35,1.6,1.2,0.75
Пари НН,20,1.7,1.75,1.6666666666666667,5.05,5.25,4.916666666666667,12.5,0.25,1.55,1.75,1.15
Краснодар,20,1.7,1.125,2.0833333333333335,5.05,5.0,5.083333333333333,13.1,0.2,1.85,0.75,1.15
Оренбург,20,1.6,1.5,1.7,5.1,4.4,5.8,11.75,0.25,1.55,1.7,1.35
Динамо,20,2.0,2.066666666666667,1.8,4.95,5.066666666666666,4.6,12.45,0.1,1.6,0.95,0.85
ЦСКА,20,1.75,2.0,1.5833333333333333,5.25,4.625,5.666666666666667,14.65,0.3,1.65,0.85,1.0
Факел,20,1.1,0.8,1.4,5.4,5.8,5.0,12.75,0.25,2.35,0.95,1.35
Ростов,20,1.65,1.5333333333333334,2.0,4.9,4.866666666666666,5.0,10.7,0.25,1.7,1.55,1.4
Урал,20,1.45,1.5,1.4166666666666667,5.4,5.25,5.5,13.6,0.35,1.9,1.1,1.5
Рубин,20,1.5,1.2307692307692308,2.0,5.1,5.3076923076923075,4.714285714285714,12.8,0.05,2.4,1.05,0.85
Сочи,20,2.0,1.2857142857142858,2.3846153846153846,5.45,6.142857142857143,5.076923076923077,12.8,0.3,1.15,1.15,1.65
Ахмат,20,1.45,1.2222222222222223,1.6363636363636365,4.65,4.222222222222222,5.0,12.05,0.35,1.95,1.6,0.9
